FILENAME	DATASET	E-G-L	CAMERA	S-B-G	VARIETY	S-QUALITY
so1_L_e_b_001.jpg	SO1	E	NA	B	Lagorai	NA
so1_L_e_b_002.jpg	SO1	E	NA	B	Lagorai	NA
so1_V_e_b_001.jpg	SO1	E	NA	B	Vajolet	NA
so1_V_e_b_002.jpg	SO1	E	NA	B	Vajolet	NA
so1_V_e_b_003.jpg	SO1	E	NA	B	Vajolet	NA
so1_V_e_b_004.jpg	SO1	E	NA	B	Vajolet	NA
so1_V_e_b_005.jpg	SO1	E	NA	B	Vajolet	NA
so1_L_g_b_001.jpg	SO1	G	NA	B	Lagorai	NA
so1_L_g_b_002.jpg	SO1	G	NA	B	Lagorai	NA
so1_L_g_b_003.jpg	SO1	G	NA	B	Lagorai	NA
so1_L_g_b_004.jpg	SO1	G	NA	B	Lagorai	NA
so1_L_g_b_005.jpg	SO1	G	NA	B	Lagorai	NA
so1_L_g_b_006.jpg	SO1	G	NA	B	Lagorai	NA
so1_L_g_b_007.jpg	SO1	G	NA	B	Lagorai	NA
so1_L_g_b_008.jpg	SO1	G	NA	B	Lagorai	NA
so1_L_g_b_009.jpg	SO1	G	NA	B	Lagorai	NA
so1_L_g_b_010.jpg	SO1	G	NA	B	Lagorai	NA
so1_L_g_b_011.jpg	SO1	G	NA	B	Lagorai	NA
so1_L_g_gb_001.jpg	SO1	G	NA	GB	Lagorai	NA
so1_L_g_gb_002.jpg	SO1	G	NA	GB	Lagorai	NA
so1_V_g_b_001.jpg	SO1	G	NA	B	Vajolet	NA
so1_V_g_b_002.jpg	SO1	G	NA	B	Vajolet	NA
so1_V_g_b_003.jpg	SO1	G	NA	B	Vajolet	NA
so1_V_g_b_004.jpg	SO1	G	NA	B	Vajolet	NA
so1_V_g_b_005.jpg	SO1	G	NA	B	Vajolet	NA
so1_V_g_b_006.jpg	SO1	G	NA	B	Vajolet	NA
so1_V_g_b_007.jpg	SO1	G	NA	B	Vajolet	NA
so1_V_g_b_008.jpg	SO1	G	NA	B	Vajolet	NA
so1_V_g_gb_001.jpg	SO1	G	NA	GB	Vajolet	NA
so1_V_g_gb_002.jpg	SO1	G	NA	GB	Vajolet	NA
so1_V_g_gb_003.jpg	SO1	G	NA	GB	Vajolet	NA
so1_V_g_gb_004.jpg	SO1	G	NA	GB	Vajolet	NA
so1_V_g_gb_005.jpg	SO1	G	NA	GB	Vajolet	NA
so1_L_l_b_001.jpg	SO1	L	NA	B	Lagorai	NA
so1_L_l_b_002.jpg	SO1	L	NA	B	Lagorai	NA
so1_L_l_b_003.jpg	SO1	L	NA	B	Lagorai	NA
so1_L_l_b_004.jpg	SO1	L	NA	B	Lagorai	NA
so1_L_l_b_005.jpg	SO1	L	NA	B	Lagorai	NA
so1_L_l_gb_001.jpg	SO1	L	NA	GB	Lagorai	NA
so1_L_l_gb_002.jpg	SO1	L	NA	GB	Lagorai	NA
so1_V_l_b_001.jpg	SO1	L	NA	B	Vajolet	NA
so1_V_l_b_002.jpg	SO1	L	NA	B	Vajolet	NA
so1_V_l_b_003.jpg	SO1	L	NA	B	Vajolet	NA
so1_V_l_b_004.jpg	SO1	L	NA	B	Vajolet	NA
so2_L_t_e_b_001.jpg	SO2	E	Francisca	B	Lagorai	NA
so2_L_t_e_b_002.jpg	SO2	E	Francisca	B	Lagorai	NA
so2_L_t_e_b_003.jpg	SO2	E	Francisca	B	Lagorai	NA
so2_L_t_e_b_004.jpg	SO2	E	Francisca	B	Lagorai	NA
so2_L_t_e_b_005.jpg	SO2	E	Francisca	B	Lagorai	NA
so2_L_t_e_b_006.jpg	SO2	E	Francisca	B	Lagorai	NA
so2_L_t_e_b_007.jpg	SO2	E	Francisca	B	Lagorai	NA
so2_L_t_e_b_008.jpg	SO2	E	Francisca	B	Lagorai	NA
so2_L_t_e_g_001.jpg	SO2	E	Francisca	G	Lagorai	NA
so2_L_t_e_g_002.jpg	SO2	E	Francisca	G	Lagorai	NA
so2_L_t_e_gb_001.jpg	SO2	E	Francisca	GB	Lagorai	NA
so2_L_t_e_s_001.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_002.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_003.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_004.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_005.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_006.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_007.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_008.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_009.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_010.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_011.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_012.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_013.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_014.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_015.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_016.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_017.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_018.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_019.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_020.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_021.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_022.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_023.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_024.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_025.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_026.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_027.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_028.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_029.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_030.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_031.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_032.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_033.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_034.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_035.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_036.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_037.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_038.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_039.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_040.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_041.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_042.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_043.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_044.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_045.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_046.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_047.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_048.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_049.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_050.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_051.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_052.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_053.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_054.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_055.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_056.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_057.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_058.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_059.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_060.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_061.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_062.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_063.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_064.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_065.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_066.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_067.jpg	SO2	E	Francisca	S	Lagorai	NA
so2_L_t_e_s_068.jpg	SO2	E	Francisca	S	Lagorai	NA
